name,edad,raza,nacionalidad,winner,film,year_ceremony
Richard Barthelmess,,,,False,The Noose,1928
Emil Jannings,45.0,Blanca,Alemania,True,The Last Command,1928
George Bancroft,,,,False,Thunderbolt,1929
Warner Baxter,40.0,Blanca,Estados Unidos,True,In Old Arizona,1929
Chester Morris,,,,False,Alibi,1929
Paul Muni,42.0,Blanca,Estados Unidos,False,The Valiant,1929
Lewis Stone,,,,False,The Patriot,1929
George Arliss,,,,True,Disraeli,1930
George Arliss,,,,False,The Green Goddess,1930
Wallace Beery,51.0,Blanca,Estados Unidos,False,The Big House,1930
Maurice Chevalier,,,,False,The Big Pond,1930
Ronald Colman,52.0,Blanca,Estados Unidos,False,Bulldog Drummond,1930
Lawrence Tibbett,,,,False,The Rogue Song,1930
Lionel Barrymore,53.0,Blanca,Estados Unidos,True,A Free Soul,1931
Jackie Cooper,,,,False,Skippy,1931
Richard Dix,,,,False,Cimarron,1931
Fredric March,37.0,Blanca,Estados Unidos,False,The Royal Family of Broadway,1931
Fredric March,45.0,Blanca,Reino Unido,False,The Royal Family of Broadway,1931
Adolphe Menjou,,,,False,The Front Page,1931
Wallace Beery,51.0,Blanca,Estados Unidos,True,The Champ,1932
Alfred Lunt,,,,False,The Guardsman,1932
Fredric March,37.0,Blanca,Estados Unidos,True,Dr. Jekyll and Mr. Hyde,1932
Fredric March,45.0,Blanca,Reino Unido,True,Dr. Jekyll and Mr. Hyde,1932
Leslie Howard,,,,False,Berkeley Square,1933
Charles Laughton,34.0,Blanca,Reino Unido,True,The Private Life of Henry VIII,1933
Paul Muni,42.0,Blanca,Estados Unidos,False,I Am a Fugitive from a Chain Gang,1933
Clark Gable,34.0,Blanca,Estados Unidos,True,It Happened One Night,1935
Frank Morgan,,,,False,The Affairs of Cellini,1935
William Powell,,,,False,The Thin Man,1935
Clark Gable,34.0,Blanca,Estados Unidos,False,Mutiny on the Bounty,1936
Charles Laughton,34.0,Blanca,Reino Unido,False,Mutiny on the Bounty,1936
Victor McLaglen,49.0,Blanca,Reino Unido,True,The Informer,1936
Paul Muni,42.0,Blanca,Estados Unidos,False,Black Fury,1936
Franchot Tone,,,,False,Mutiny on the Bounty,1936
Gary Cooper,41.0,Blanca,Estados Unidos,False,Mr. Deeds Goes to Town,1937
Gary Cooper,53.0,Blanca,Estados Unidos,False,Mr. Deeds Goes to Town,1937
Walter Huston,,,,False,Dodsworth,1937
Paul Muni,42.0,Blanca,Estados Unidos,True,The Story of Louis Pasteur,1937
William Powell,,,,False,My Man Godfrey,1937
Spencer Tracy,36.0,Blanca,Estados Unidos,False,San Francisco,1937
Spencer Tracy,37.0,Blanca,Estados Unidos,False,San Francisco,1937
Charles Boyer,,,,False,Conquest,1938
Fredric March,37.0,Blanca,Estados Unidos,False,A Star Is Born,1938
Fredric March,45.0,Blanca,Reino Unido,False,A Star Is Born,1938
Robert Montgomery,,,,False,Night Must Fall,1938
Paul Muni,42.0,Blanca,Estados Unidos,False,The Life of Emile Zola,1938
Spencer Tracy,36.0,Blanca,Estados Unidos,True,Captains Courageous,1938
Spencer Tracy,37.0,Blanca,Estados Unidos,True,Captains Courageous,1938
Charles Boyer,,,,False,Algiers,1939
James Cagney,42.0,Blanca,Hungría,False,Angels with Dirty Faces,1939
Robert Donat,33.0,Blanca,Reino Unido,False,The Citadel,1939
Leslie Howard,,,,False,Pygmalion,1939
Spencer Tracy,36.0,Blanca,Estados Unidos,True,Boys Town,1939
Spencer Tracy,37.0,Blanca,Estados Unidos,True,Boys Town,1939
Robert Donat,33.0,Blanca,Reino Unido,True,"Goodbye, Mr. Chips",1940
Clark Gable,34.0,Blanca,Estados Unidos,False,Gone with the Wind,1940
Laurence Olivier,41.0,Hispano,Puerto Rico,False,Wuthering Heights,1940
Mickey Rooney,,,,False,Babes in Arms,1940
James Stewart,32.0,Blanca,Estados Unidos,False,Mr. Smith Goes to Washington,1940
Charles Chaplin,,,,False,The Great Dictator,1941
Henry Fonda,76.0,Blanca,Reino Unido,False,The Grapes of Wrath,1941
Raymond Massey,,,,False,Abe Lincoln in Illinois,1941
Laurence Olivier,41.0,Hispano,Puerto Rico,False,Rebecca,1941
James Stewart,32.0,Blanca,Estados Unidos,True,The Philadelphia Story,1941
Gary Cooper,41.0,Blanca,Estados Unidos,True,Sergeant York,1942
Gary Cooper,53.0,Blanca,Estados Unidos,True,Sergeant York,1942
Cary Grant,,,,False,Penny Serenade,1942
Walter Huston,,,,False,All That Money Can Buy,1942
Robert Montgomery,,,,False,Here Comes Mr. Jordan,1942
Orson Welles,,,,False,Citizen Kane,1942
James Cagney,42.0,Blanca,Hungría,True,Yankee Doodle Dandy,1943
Ronald Colman,52.0,Blanca,Estados Unidos,False,Random Harvest,1943
Gary Cooper,41.0,Blanca,Estados Unidos,False,The Pride of the Yankees,1943
Gary Cooper,53.0,Blanca,Estados Unidos,False,The Pride of the Yankees,1943
Walter Pidgeon,,,,False,Mrs. Miniver,1943
Monty Woolley,,,,False,The Pied Piper,1943
Humphrey Bogart,54.0,Blanca,Estados Unidos,False,Casablanca,1944
Gary Cooper,41.0,Blanca,Estados Unidos,False,For Whom the Bell Tolls,1944
Gary Cooper,53.0,Blanca,Estados Unidos,False,For Whom the Bell Tolls,1944
Paul Lukas,50.0,Blanca,Estados Unidos,True,Watch on the Rhine,1944
Walter Pidgeon,,,,False,Madame Curie,1944
Mickey Rooney,,,,False,The Human Comedy,1944
Charles Boyer,,,,False,Gaslight,1945
Bing Crosby,41.0,Blanca,Reino Unido,True,Going My Way,1945
Barry Fitzgerald,,,,False,Going My Way,1945
Cary Grant,,,,False,None but the Lonely Heart,1945
Alexander Knox,,,,False,Wilson,1945
Bing Crosby,41.0,Blanca,Reino Unido,False,The Bells of St. Mary's,1946
Gene Kelly,,,,False,Anchors Aweigh,1946
Ray Milland,38.0,Blanca,Estados Unidos,True,The Lost Weekend,1946
Gregory Peck,46.0,Blanca,Estados Unidos,False,The Keys of the Kingdom,1946
Cornel Wilde,,,,False,A Song to Remember,1946
Fredric March,37.0,Blanca,Estados Unidos,True,The Best Years of Our Lives,1947
Fredric March,45.0,Blanca,Reino Unido,True,The Best Years of Our Lives,1947
Laurence Olivier,41.0,Hispano,Puerto Rico,False,Henry V,1947
Larry Parks,,,,False,The Jolson Story,1947
Gregory Peck,46.0,Blanca,Estados Unidos,False,The Yearling,1947
James Stewart,32.0,Blanca,Estados Unidos,False,It's a Wonderful Life,1947
Ronald Colman,52.0,Blanca,Estados Unidos,True,A Double Life,1948
John Garfield,,,,False,Body and Soul,1948
Gregory Peck,46.0,Blanca,Estados Unidos,False,Gentleman's Agreement,1948
William Powell,,,,False,Life with Father,1948
Michael Redgrave,,,,False,Mourning Becomes Electra,1948
Lew Ayres,,,,False,Johnny Belinda,1949
Montgomery Clift,,,,False,The Search,1949
Dan Dailey,,,,False,When My Baby Smiles at Me,1949
Laurence Olivier,41.0,Hispano,Puerto Rico,True,Hamlet,1949
Clifton Webb,,,,False,Sitting Pretty,1949
Broderick Crawford,44.0,Blanca,Estados Unidos,True,All the King's Men,1950
Kirk Douglas,,,,False,Champion,1950
Gregory Peck,46.0,Blanca,Estados Unidos,False,Twelve O'Clock High,1950
Richard Todd,,,,False,The Hasty Heart,1950
John Wayne,62.0,Blanca,Estados Unidos,False,Sands of Iwo Jima,1950
Louis Calhern,,,,False,The Magnificent Yankee,1951
José Ferrer,41.0,Blanca,Estados Unidos,True,Cyrano de Bergerac,1951
William Holden,35.0,Blanca,Estados Unidos,False,Sunset Blvd.,1951
James Stewart,32.0,Blanca,Estados Unidos,False,Harvey,1951
Spencer Tracy,36.0,Blanca,Estados Unidos,False,Father of the Bride,1951
Spencer Tracy,37.0,Blanca,Estados Unidos,False,Father of the Bride,1951
Humphrey Bogart,54.0,Blanca,Estados Unidos,True,The African Queen,1952
Marlon Brando,30.0,Blanca,Rusia,False,A Streetcar Named Desire,1952
